OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,rating_updated_on
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,GIULIA,2024 Alfa Giulia 4 DR AWD,19335,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,GIULIA QUADRIFOGLIO,2024 Alfa Giulia Quadrifoglio 4 DR RWD,19336,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,STELVIO,2024 Alfa Stelvio SUV RWD,19337,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,STELVIO,2024 Alfa Stelvio SUV AWD,19338,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,STELVIO QUADRIFOGLIO,2024 Alfa Stelvio Quadrifoglio SUV AWD,19339,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,ALFA,TONALE EAWD,2024 Alfa Tonale eAWD SUV AWD,19340,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,A3,2024 Audi A3 4 DR FWD,19475,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,A3,2024 Audi A3 4 DR AWD,19476,2024-12-31 11:37:41.109304+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,A4,2024 Audi A4 4 DR AWD,19479,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard,Standard,2024,AUDI,A4 ALLROAD,2024 Audi A4 allroad SW AWD,19481,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,A5 CABRIOLET,2024 Audi A5 Cabriolet C AWD,19482,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,A5 COUPE,2024 Audi A5 Coupe 2 DR AWD,19484,2024-12-17 11:33:30.434063+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,A5 SPORTBACK,2024 Audi A5 Sportback 4 DR AWD,19487,2024-05-25 12:29:33.109031+00:00
5,4,5,4,5,5,5,5,5,5,5,Not Rated,0.089,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,A6 ALLROAD,2024 Audi A6 allroad SW AWD,19490,2024-05-25 12:31:50.348814+00:00
5,4,5,4,5,5,5,5,5,5,5,Not Rated,0.089,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,A6 SEDAN,2024 Audi A6 Sedan 4 DR AWD,19492,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard,Standard,2024,AUDI,A7,2024 Audi A7 4 DR AWD,19494,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,A8 LWB,2024 Audi A8 LWB 4 DR AWD,19497,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,E-TRON GT,2024 Audi e-tron GT 4 DR AWD,19499,2024-12-30 11:33:00.092872+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q3,2024 Audi Q3 SUV AWD,19501,2024-05-25 12:40:20.800201+00:00
5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.113,0.0,No Tip,3,Standard,Standard,Standard,2024,AUDI,Q4 E-TRON,2024 Audi Q4 e-tron SUV AWD,19502,2024-05-25 12:31:50.348814+00:00
Not Rated,4,5,4,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,3,Standard,Standard,Standard,2024,AUDI,Q4 E-TRON,2024 Audi Q4 e-tron SUV RWD,19503,2024-12-30 11:33:00.092872+00:00
5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.113,0.0,No Tip,3,Standard,Standard,Standard,2024,AUDI,Q4 SPORTBACK E-TRON,2024 Audi Q4 Sportback e-tron SUV AWD,19504,2024-05-25 12:31:50.348814+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q5,2024 Audi Q5 SUV AWD,19505,2024-05-25 12:31:50.348814+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,Q5 PHEV,2024 Audi Q5 PHEV SUV AWD,19507,2024-12-30 11:33:00.092872+00:00
5,5,5,5,5,5,5,5,5,5,4,Not Rated,0.164,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q5 SPORTBACK,2024 Audi Q5 Sportback SUV AWD,19508,2024-05-25 12:31:50.348814+00:00
5,4,4,5,5,5,5,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q7,2024 Audi Q7 SUV AWD,19510,2024-05-25 12:40:20.800201+00:00
5,5,4,5,5,5,5,5,5,5,4,Not Rated,0.159,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q8,2024 Audi Q8 SUV AWD,19512,2024-05-25 12:29:39.061581+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q8 E-TRON,2024 Audi Q8 e-tron SUV AWD,19515,2024-05-25 12:30:30.278697+00:00
5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,Standard,Standard,Standard,2024,AUDI,Q8 SPORTBACK E-TRON,2024 Audi Q8 Sportback e-tron SUV AWD,19517,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,RS 3,2024 Audi RS 3 4 DR AWD,19478,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,RS 5 COUPE,2024 Audi RS 5 Coupe 2 DR AWD,19486,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,RS 5 SPORTBACK,2024 Audi RS 5 Sportback 4 DR AWD,19489,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,RS 6 AVANT,2024 Audi RS 6 Avant SW AWD,19491,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,RS 7,2024 Audi RS 7 4 DR AWD,19496,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,RS E-TRON GT,2024 Audi RS e-tron GT 4 DR AWD,19500,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.158,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,RS Q8,2024 Audi RS Q8 SUV AWD,19514,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,S3,2024 Audi S3 4 DR AWD,19477,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,S4,2024 Audi S4 4 DR AWD,19480,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,S5 CABRIOLET,2024 Audi S5 Cabriolet C AWD,19483,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,S5 COUPE,2024 Audi S5 Coupe 2 DR AWD,19485,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,S5 SPORTBACK,2024 Audi S5 Sportback 4 DR AWD,19488,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.089,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,S6 SEDAN,2024 Audi S6 Sedan 4 DR AWD,19493,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,S7,2024 Audi S7 4 DR AWD,19495,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,AUDI,S8 LWB,2024 Audi S8 LWB 4 DR AWD,19498,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.164,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ5,2024 Audi SQ5 SUV AWD,19506,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.164,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ5 SPORTBACK,2024 Audi SQ5 Sportback SUV AWD,19509,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.157,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ7,2024 Audi SQ7 SUV AWD,19511,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.158,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ8,2024 Audi SQ8 SUV AWD,19513,2024-12-30 11:33:00.092872+00:00
Not Rated,4,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.092,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ8 E-TRON,2024 Audi SQ8 e-tron SUV AWD,19516,2024-12-17 11:33:30.434063+00:00
Not Rated,4,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.092,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,AUDI,SQ8 SPORTBACK E-TRON,2024 Audi SQ8 Sportback e-tron SUV AWD,19518,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,BENTLEY,BENTAYGA HYBRID,2024 Bentley Bentayga Hybrid SUV AWD,19711,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,BENTLEY,BENTAYGA V8,2024 Bentley Bentayga V8 SUV AWD,19709,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Standard,2024,BENTLEY,BENTAYGA V8 EWB,2024 Bentley Bentayga V8 EWB SUV AWD,19710,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT,2024 Bentley Continental GT 2 DR AWD,19712,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT CONVERTIBLE,2024 Bentley Continental GT Convertible C AWD,19715,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT SPEED,2024 Bentley Continental GT Speed 2 DR AWD,19714,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,2024 Bentley Continental GT Speed Convertible C AWD,19717,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT V8,2024 Bentley Continental GT V8 2 DR AWD,19713,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,CONTINENTAL GT V8 CONVERTIBLE,2024 Bentley Continental GT V8 Convertible C AWD,19716,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,FLYING SPUR,2024 Bentley Flying Spur 4 DR AWD,19718,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,FLYING SPUR HYBRID,2024 Bentley Flying Spur Hybrid 4 DR AWD,19720,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Not Available,2024,BENTLEY,FLYING SPUR V8,2024 Bentley Flying Spur V8 4 DR AWD,19719,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,2 SERIES COUPE,2024 BMW 2 Series Coupe 2 DR RWD,19184,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,2 SERIES COUPE,2024 BMW 2 Series Coupe 2 DR AWD,19185,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,2 SERIES GRAN COUPE,2024 BMW 2 Series Gran Coupe 4 DR FWD,19186,2024-12-21 11:33:05.659837+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,2 SERIES GRAN COUPE,2024 BMW 2 Series Gran Coupe 4 DR AWD,19187,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,3 SERIES HYBRID SEDAN,2024 BMW 3 Series Hybrid Sedan 4 DR RWD,19191,2024-12-29 11:33:30.038202+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,3 SERIES HYBRID SEDAN,2024 BMW 3 Series Hybrid Sedan 4 DR AWD,19192,2024-12-17 11:33:30.434063+00:00
5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,Standard,No,No,2024,BMW,3 SERIES SEDAN,2024 BMW 3 Series Sedan 4 DR RWD,19189,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,Standard,No,No,2024,BMW,3 SERIES SEDAN,2024 BMW 3 Series Sedan 4 DR AWD,19190,2024-05-25 12:40:20.800201+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES CONVERTIBLE,2024 BMW 4 Series Convertible C RWD,19203,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES CONVERTIBLE,2024 BMW 4 Series Convertible C AWD,19204,2024-12-30 11:33:00.092872+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES COUPE,2024 BMW 4 Series Coupe 2 DR RWD,19195,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES COUPE,2024 BMW 4 Series Coupe 2 DR AWD,19196,2024-12-26 11:38:15.587083+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES GRAN COUPE,2024 BMW 4 Series Gran Coupe 4 DR RWD,19199,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,4 SERIES GRAN COUPE,2024 BMW 4 Series Gran Coupe 4 DR AWD,19200,2024-12-17 11:33:30.434063+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,7 SERIES SEDAN,2024 BMW 7 Series Sedan 4 DR RWD,19207,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,7 SERIES SEDAN,2024 BMW 7 Series Sedan 4 DR AWD,19208,2024-12-31 11:37:41.109304+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2024,BMW,8 SERIES CONVERTIBLE,2024 BMW 8 Series Convertible C RWD,19214,2024-12-26 11:38:15.587083+00:00
